2026-08-23 14:32:22 | DEBUG    | src.rl_lib.training.callbacks.checkpoints_save | CheckpointsSaveCallback created with intervals=200
2026-08-23 14:32:43 | DEBUG    | src.rl_lib.tracking.console_logger | Step 0: {'rollout/returns': '-0.762045', 'rollout/advantages': '-0.835754'}
2026-08-23 14:32:49 | DEBUG    | src.rl_lib.tracking.console_logger | Step 16: {'metrics/approx_kl': '0.001569', 'loss/actor': '-0.002324', 'loss/critic': '0.773794', 'metrics/entropy_0': '0.919495', 'metrics/entropy_1': '0.918861', 'metrics/entropy_2': '0.918953', 'loss/entropy': '2.757308', 'loss/total': '0.381816'}
2026-08-23 14:33:09 | DEBUG    | src.rl_lib.tracking.console_logger | Step 499: {'episode/returns': '-28.784099', 'episode/lengths': '1000.000000'}
2026-08-23 14:33:11 | DEBUG    | src.rl_lib.tracking.console_logger | Step 16: {'rollout/returns': '-1.230492', 'rollout/advantages': '-0.945158'}
2026-08-23 14:33:18 | DEBUG    | src.rl_lib.tracking.console_logger | Step 32: {'metrics/approx_kl': '0.006040', 'loss/actor': '-0.008023', 'loss/critic': '1.219063', 'metrics/entropy_0': '0.919702', 'metrics/entropy_1': '0.917160', 'metrics/entropy_2': '0.918841', 'loss/entropy': '2.755703', 'loss/total': '0.598753'}
2026-08-23 14:33:46 | DEBUG    | src.rl_lib.tracking.console_logger | Step 32: {'rollout/returns': '-0.347822', 'rollout/advantages': '-0.195562'}
2026-08-23 14:33:58 | DEBUG    | src.rl_lib.tracking.console_logger | Step 48: {'metrics/approx_kl': '0.006416', 'loss/actor': '-0.005559', 'loss/critic': '0.521655', 'metrics/entropy_0': '0.918593', 'metrics/entropy_1': '0.915624', 'metrics/entropy_2': '0.919439', 'loss/entropy': '2.753655', 'loss/total': '0.252514'}
2026-08-23 14:34:16 | DEBUG    | src.rl_lib.tracking.console_logger | Step 1000: {'episode/returns': '-28.030677', 'episode/lengths': '1000.000000'}
2026-08-23 14:34:18 | DEBUG    | src.rl_lib.tracking.console_logger | Step 48: {'rollout/returns': '-1.800157', 'rollout/advantages': '-1.492316'}
2026-08-23 14:34:26 | DEBUG    | src.rl_lib.tracking.console_logger | Step 64: {'metrics/approx_kl': '0.003639', 'loss/actor': '-0.002229', 'loss/critic': '1.460822', 'metrics/entropy_0': '0.918404', 'metrics/entropy_1': '0.913646', 'metrics/entropy_2': '0.920299', 'loss/entropy': '2.752349', 'loss/total': '0.725430'}
2026-08-23 14:34:46 | DEBUG    | src.rl_lib.tracking.console_logger | Step 64: {'rollout/returns': '-0.544893', 'rollout/advantages': '0.203009'}
2026-08-23 14:34:52 | DEBUG    | src.rl_lib.tracking.console_logger | Step 80: {'metrics/approx_kl': '0.012287', 'loss/actor': '-0.013082', 'loss/critic': '0.537952', 'metrics/entropy_0': '0.918199', 'metrics/entropy_1': '0.912826', 'metrics/entropy_2': '0.920435', 'loss/entropy': '2.751459', 'loss/total': '0.253143'}
2026-08-23 14:35:11 | DEBUG    | src.rl_lib.tracking.console_logger | Step 1501: {'episode/returns': '-10.242490', 'episode/lengths': '1000.000000'}
2026-08-23 14:35:14 | DEBUG    | src.rl_lib.tracking.console_logger | Step 80: {'rollout/returns': '-1.259596', 'rollout/advantages': '-0.493777'}
2026-08-23 14:35:20 | DEBUG    | src.rl_lib.tracking.console_logger | Step 96: {'metrics/approx_kl': '0.006133', 'loss/actor': '-0.006797', 'loss/critic': '1.281318', 'metrics/entropy_0': '0.917878', 'metrics/entropy_1': '0.913389', 'metrics/entropy_2': '0.920910', 'loss/entropy': '2.752177', 'loss/total': '0.631110'}
2026-08-23 14:35:40 | DEBUG    | src.rl_lib.tracking.console_logger | Step 96: {'rollout/returns': '-0.850989', 'rollout/advantages': '-0.095409'}
2026-08-23 14:35:46 | DEBUG    | src.rl_lib.tracking.console_logger | Step 112: {'metrics/approx_kl': '0.004647', 'loss/actor': '-0.004145', 'loss/critic': '0.499578', 'metrics/entropy_0': '0.918415', 'metrics/entropy_1': '0.913944', 'metrics/entropy_2': '0.922961', 'loss/entropy': '2.755320', 'loss/total': '0.242889'}
2026-08-23 14:36:02 | DEBUG    | src.rl_lib.tracking.console_logger | Step 2002: {'episode/returns': '-30.156021', 'episode/lengths': '1000.000000'}
2026-08-23 14:36:06 | DEBUG    | src.rl_lib.tracking.console_logger | Step 112: {'rollout/returns': '-2.764459', 'rollout/advantages': '-1.716717'}
2026-08-23 14:36:12 | DEBUG    | src.rl_lib.tracking.console_logger | Step 128: {'metrics/approx_kl': '0.010209', 'loss/actor': '0.000830', 'loss/critic': '1.680967', 'metrics/entropy_0': '0.918950', 'metrics/entropy_1': '0.911406', 'metrics/entropy_2': '0.922667', 'loss/entropy': '2.753023', 'loss/total': '0.838561'}
2026-08-23 14:36:33 | DEBUG    | src.rl_lib.tracking.console_logger | Step 128: {'rollout/returns': '-1.002488', 'rollout/advantages': '-0.035962'}
2026-08-23 14:36:39 | DEBUG    | src.rl_lib.tracking.console_logger | Step 144: {'metrics/approx_kl': '0.007163', 'loss/actor': '-0.005283', 'loss/critic': '0.479949', 'metrics/entropy_0': '0.919437', 'metrics/entropy_1': '0.909464', 'metrics/entropy_2': '0.922141', 'loss/entropy': '2.751042', 'loss/total': '0.231940'}
2026-08-23 14:36:54 | DEBUG    | src.rl_lib.tracking.console_logger | Step 2503: {'episode/returns': '-32.667526', 'episode/lengths': '1000.000000'}
2026-08-23 14:36:59 | DEBUG    | src.rl_lib.tracking.console_logger | Step 144: {'rollout/returns': '-3.001644', 'rollout/advantages': '-1.544513'}
2026-08-23 14:37:06 | DEBUG    | src.rl_lib.tracking.console_logger | Step 160: {'metrics/approx_kl': '0.010173', 'loss/actor': '0.001205', 'loss/critic': '1.744675', 'metrics/entropy_0': '0.918749', 'metrics/entropy_1': '0.909556', 'metrics/entropy_2': '0.921253', 'loss/entropy': '2.749558', 'loss/total': '0.870793'}
2026-08-23 14:37:28 | DEBUG    | src.rl_lib.tracking.console_logger | Step 160: {'rollout/returns': '-0.918519', 'rollout/advantages': '0.471015'}
2026-08-23 14:37:34 | DEBUG    | src.rl_lib.tracking.console_logger | Step 176: {'metrics/approx_kl': '0.010295', 'loss/actor': '-0.001903', 'loss/critic': '0.917936', 'metrics/entropy_0': '0.918014', 'metrics/entropy_1': '0.908453', 'metrics/entropy_2': '0.919846', 'loss/entropy': '2.746313', 'loss/total': '0.454318'}
2026-08-23 14:37:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 3004: {'episode/returns': '-25.924086', 'episode/lengths': '1000.000000'}
2026-08-23 14:37:54 | DEBUG    | src.rl_lib.tracking.console_logger | Step 176: {'rollout/returns': '-4.104406', 'rollout/advantages': '-1.496678'}
2026-08-23 14:38:01 | DEBUG    | src.rl_lib.tracking.console_logger | Step 192: {'metrics/approx_kl': '0.005143', 'loss/actor': '-0.002748', 'loss/critic': '2.310233', 'metrics/entropy_0': '0.917384', 'metrics/entropy_1': '0.908131', 'metrics/entropy_2': '0.918748', 'loss/entropy': '2.744262', 'loss/total': '1.149625'}
2026-08-23 14:38:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 192: {'rollout/returns': '-1.270302', 'rollout/advantages': '0.264671'}
2026-08-23 14:38:28 | DEBUG    | src.rl_lib.tracking.console_logger | Step 208: {'metrics/approx_kl': '0.015085', 'loss/actor': '0.004956', 'loss/critic': '0.736186', 'metrics/entropy_0': '0.916219', 'metrics/entropy_1': '0.907624', 'metrics/entropy_2': '0.918029', 'loss/entropy': '2.741872', 'loss/total': '0.370307'}
2026-08-23 14:38:41 | DEBUG    | src.rl_lib.tracking.console_logger | Step 3505: {'episode/returns': '-29.024892', 'episode/lengths': '1000.000000'}
2026-08-23 14:38:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 208: {'rollout/returns': '-4.258485', 'rollout/advantages': '-1.507692'}
2026-08-23 14:38:55 | DEBUG    | src.rl_lib.tracking.console_logger | Step 224: {'metrics/approx_kl': '0.020491', 'loss/actor': '-0.002000', 'loss/critic': '2.168803', 'metrics/entropy_0': '0.915719', 'metrics/entropy_1': '0.907248', 'metrics/entropy_2': '0.917607', 'loss/entropy': '2.740574', 'loss/total': '1.079660'}
2026-08-23 14:39:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 224: {'rollout/returns': '-1.663731', 'rollout/advantages': '-0.092565'}
2026-08-23 14:39:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 240: {'metrics/approx_kl': '0.021059', 'loss/actor': '-0.005917', 'loss/critic': '0.542158', 'metrics/entropy_0': '0.915016', 'metrics/entropy_1': '0.906273', 'metrics/entropy_2': '0.917009', 'loss/entropy': '2.738298', 'loss/total': '0.262424'}
2026-08-23 14:39:35 | DEBUG    | src.rl_lib.tracking.console_logger | Step 4006: {'episode/returns': '-18.054991', 'episode/lengths': '1000.000000'}
2026-08-23 14:39:43 | DEBUG    | src.rl_lib.tracking.console_logger | Step 240: {'rollout/returns': '-1.989926', 'rollout/advantages': '-0.111186'}
2026-08-23 14:39:50 | DEBUG    | src.rl_lib.tracking.console_logger | Step 256: {'metrics/approx_kl': '0.017197', 'loss/actor': '0.010735', 'loss/critic': '1.141488', 'metrics/entropy_0': '0.912937', 'metrics/entropy_1': '0.905224', 'metrics/entropy_2': '0.917070', 'loss/entropy': '2.735232', 'loss/total': '0.578743'}
2026-08-23 14:40:09 | DEBUG    | src.rl_lib.tracking.console_logger | Step 256: {'rollout/returns': '-1.375456', 'rollout/advantages': '0.122116'}
2026-08-23 14:40:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 272: {'metrics/approx_kl': '0.006124', 'loss/actor': '-0.004162', 'loss/critic': '1.069045', 'metrics/entropy_0': '0.912018', 'metrics/entropy_1': '0.906142', 'metrics/entropy_2': '0.917634', 'loss/entropy': '2.735794', 'loss/total': '0.527624'}
2026-08-23 14:40:31 | DEBUG    | src.rl_lib.tracking.console_logger | Step 4507: {'episode/returns': '-24.329075', 'episode/lengths': '1000.000000'}
2026-08-23 14:40:40 | DEBUG    | src.rl_lib.tracking.console_logger | Step 272: {'rollout/returns': '-2.874530', 'rollout/advantages': '-0.555044'}
2026-08-23 14:40:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 288: {'metrics/approx_kl': '0.005732', 'loss/actor': '0.002724', 'loss/critic': '1.315569', 'metrics/entropy_0': '0.912246', 'metrics/entropy_1': '0.907063', 'metrics/entropy_2': '0.918348', 'loss/entropy': '2.737657', 'loss/total': '0.657771'}
2026-08-23 14:41:13 | DEBUG    | src.rl_lib.tracking.console_logger | Step 288: {'rollout/returns': '-2.143634', 'rollout/advantages': '-0.887704'}
2026-08-23 14:41:20 | DEBUG    | src.rl_lib.tracking.console_logger | Step 304: {'metrics/approx_kl': '0.008580', 'loss/actor': '-0.010782', 'loss/critic': '1.099495', 'metrics/entropy_0': '0.912296', 'metrics/entropy_1': '0.907833', 'metrics/entropy_2': '0.919048', 'loss/entropy': '2.739176', 'loss/total': '0.536226'}
2026-08-23 14:41:32 | DEBUG    | src.rl_lib.tracking.console_logger | Step 5008: {'episode/returns': '-32.027194', 'episode/lengths': '1000.000000'}
2026-08-23 14:41:42 | DEBUG    | src.rl_lib.tracking.console_logger | Step 304: {'rollout/returns': '-2.024526', 'rollout/advantages': '0.044289'}
2026-08-23 14:41:49 | DEBUG    | src.rl_lib.tracking.console_logger | Step 320: {'metrics/approx_kl': '0.011832', 'loss/actor': '-0.009544', 'loss/critic': '1.633050', 'metrics/entropy_0': '0.911674', 'metrics/entropy_1': '0.908206', 'metrics/entropy_2': '0.919776', 'loss/entropy': '2.739656', 'loss/total': '0.804242'}
2026-08-23 14:42:08 | DEBUG    | src.rl_lib.tracking.console_logger | Step 320: {'rollout/returns': '-0.861301', 'rollout/advantages': '0.489122'}
2026-08-23 14:42:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 336: {'metrics/approx_kl': '0.014603', 'loss/actor': '-0.003356', 'loss/critic': '1.469367', 'metrics/entropy_0': '0.911213', 'metrics/entropy_1': '0.909050', 'metrics/entropy_2': '0.920850', 'loss/entropy': '2.741113', 'loss/total': '0.728586'}
2026-08-23 14:42:24 | DEBUG    | src.rl_lib.tracking.console_logger | Step 5509: {'episode/returns': '11.346166', 'episode/lengths': '1000.000000'}
2026-08-23 14:42:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 336: {'rollout/returns': '-1.673119', 'rollout/advantages': '0.157180'}
2026-08-23 14:42:42 | DEBUG    | src.rl_lib.tracking.console_logger | Step 352: {'metrics/approx_kl': '0.034574', 'loss/actor': '0.002189', 'loss/critic': '1.283504', 'metrics/entropy_0': '0.911192', 'metrics/entropy_1': '0.909850', 'metrics/entropy_2': '0.921267', 'loss/entropy': '2.742309', 'loss/total': '0.641199'}
2026-08-23 14:43:01 | DEBUG    | src.rl_lib.tracking.console_logger | Step 352: {'rollout/returns': '-2.409643', 'rollout/advantages': '-1.894540'}
2026-08-23 14:43:08 | DEBUG    | src.rl_lib.tracking.console_logger | Step 368: {'metrics/approx_kl': '0.009146', 'loss/actor': '-0.004461', 'loss/critic': '0.547312', 'metrics/entropy_0': '0.912834', 'metrics/entropy_1': '0.911431', 'metrics/entropy_2': '0.920887', 'loss/entropy': '2.745153', 'loss/total': '0.266449'}
2026-08-23 14:43:19 | DEBUG    | src.rl_lib.tracking.console_logger | Step 6010: {'episode/returns': '-44.690155', 'episode/lengths': '1000.000000'}
2026-08-23 14:43:29 | DEBUG    | src.rl_lib.tracking.console_logger | Step 368: {'rollout/returns': '-3.619165', 'rollout/advantages': '-0.157328'}
2026-08-23 14:43:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 384: {'metrics/approx_kl': '0.013629', 'loss/actor': '-0.008863', 'loss/critic': '2.134397', 'metrics/entropy_0': '0.913487', 'metrics/entropy_1': '0.909565', 'metrics/entropy_2': '0.920955', 'loss/entropy': '2.744007', 'loss/total': '1.055592'}
2026-08-23 14:43:56 | DEBUG    | src.rl_lib.tracking.console_logger | Step 384: {'rollout/returns': '-1.711674', 'rollout/advantages': '-0.718878'}
2026-08-23 14:44:02 | DEBUG    | src.rl_lib.tracking.console_logger | Step 400: {'metrics/approx_kl': '0.020794', 'loss/actor': '0.002509', 'loss/critic': '0.939462', 'metrics/entropy_0': '0.912685', 'metrics/entropy_1': '0.907570', 'metrics/entropy_2': '0.921396', 'loss/entropy': '2.741652', 'loss/total': '0.469499'}
2026-08-23 14:44:12 | DEBUG    | src.rl_lib.tracking.console_logger | Step 6511: {'episode/returns': '-23.633094', 'episode/lengths': '1000.000000'}
2026-08-23 14:44:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 400: {'rollout/returns': '-3.419205', 'rollout/advantages': '0.158492'}
2026-08-23 14:44:29 | DEBUG    | src.rl_lib.tracking.console_logger | Step 416: {'metrics/approx_kl': '0.023371', 'loss/actor': '0.013825', 'loss/critic': '1.535451', 'metrics/entropy_0': '0.912451', 'metrics/entropy_1': '0.906080', 'metrics/entropy_2': '0.921923', 'loss/entropy': '2.740453', 'loss/total': '0.778810'}
2026-08-23 14:44:49 | DEBUG    | src.rl_lib.tracking.console_logger | Step 416: {'rollout/returns': '-2.085150', 'rollout/advantages': '-1.332279'}
2026-08-23 14:44:55 | DEBUG    | src.rl_lib.tracking.console_logger | Step 432: {'metrics/approx_kl': '0.017455', 'loss/actor': '0.006231', 'loss/critic': '0.931425', 'metrics/entropy_0': '0.912728', 'metrics/entropy_1': '0.904822', 'metrics/entropy_2': '0.922491', 'loss/entropy': '2.740041', 'loss/total': '0.469203'}
2026-08-23 14:45:03 | DEBUG    | src.rl_lib.tracking.console_logger | Step 7012: {'episode/returns': '-30.552206', 'episode/lengths': '1000.000000'}
