2026-09-02 16:53:34 | DEBUG    | rl_lib.training.callbacks.checkpoints_save | CheckpointsSaveCallback created with intervals=200
2026-09-02 16:53:40 | DEBUG    | rl_lib.training.callbacks.record_video | Recording video...
2026-09-02 16:53:54 | DEBUG    | rl_lib.tracking.console_logger | Step 0: {'evaluation/episode_returns': '-30.232558', 'evaluation/episode_lengths': '1000.000000'}
2026-09-02 16:54:50 | DEBUG    | rl_lib.tracking.console_logger | Step 2047: {'rollout/returns': '-0.119231', 'rollout/advantages_mean': '-1.215897', 'rollout/advantages_std': '1.356135', 'rollout/critic_values': '1.096666', 'rollout/old_log_probs': '-0.135769', 'rollout/action_mean_0': '-0.000257', 'rollout/action_mean_1': '0.501444', 'rollout/action_mean_2': '0.505482', 'rollout/action_std_0': '0.476553', 'rollout/action_std_1': '0.239187', 'rollout/action_std_2': '0.235733', 'rollout/explained_variance': '-0.001949', 'training/entropy_coef': '0.009990', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.004758', 'metrics/ratio_max': '1.303509', 'metrics/clip_fraction': '0.043710', 'metrics/approx_kl_0': '0.000400', 'metrics/approx_kl_1': '0.002417', 'metrics/approx_kl_2': '0.001992', 'metrics/actor_loss': '-0.004718', 'loss/critic': '0.958331', 'metrics/entropy_0': '0.919502', 'metrics/entropy_1': '0.917911', 'metrics/entropy_2': '0.918339', 'loss/entropy': '2.755752', 'metrics/log_std_0': '-0.499437', 'metrics/log_std_1': '-0.501027', 'metrics/log_std_2': '-0.500599', 'loss/total': '0.446890', 'grad_norm/cnn': '1.341800', 'grad_norm/sequence_encoder': '1.695165', 'grad_norm/actor': '1.561615', 'grad_norm/critic': '0.656617', 'metrics/grad_norm/max': '2.889972'}
2026-09-02 16:54:50 | DEBUG    | rl_lib.tracking.console_logger | Step 2002: {'episode/returns': '-25.345250', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 16:55:46 | DEBUG    | rl_lib.tracking.console_logger | Step 4095: {'rollout/returns': '-0.215250', 'rollout/advantages_mean': '-1.082740', 'rollout/advantages_std': '1.410541', 'rollout/critic_values': '0.867491', 'rollout/old_log_probs': '-0.134573', 'rollout/action_mean_0': '0.017257', 'rollout/action_mean_1': '0.515419', 'rollout/action_mean_2': '0.487075', 'rollout/action_std_0': '0.474596', 'rollout/action_std_1': '0.236465', 'rollout/action_std_2': '0.236639', 'rollout/explained_variance': '0.042979', 'training/entropy_coef': '0.009980', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003569', 'metrics/ratio_max': '1.254239', 'metrics/clip_fraction': '0.026503', 'metrics/approx_kl_0': '0.000496', 'metrics/approx_kl_1': '0.002132', 'metrics/approx_kl_2': '0.000889', 'metrics/actor_loss': '-0.002582', 'loss/critic': '0.922148', 'metrics/entropy_0': '0.919809', 'metrics/entropy_1': '0.916402', 'metrics/entropy_2': '0.917824', 'loss/entropy': '2.754036', 'metrics/log_std_0': '-0.499130', 'metrics/log_std_1': '-0.502536', 'metrics/log_std_2': '-0.501114', 'loss/total': '0.430980', 'grad_norm/cnn': '1.329212', 'grad_norm/sequence_encoder': '1.603267', 'grad_norm/actor': '1.691016', 'grad_norm/critic': '0.620866', 'metrics/grad_norm/max': '2.922097'}
2026-09-02 16:55:46 | DEBUG    | rl_lib.tracking.console_logger | Step 4006: {'episode/returns': '-22.025037', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 16:56:42 | DEBUG    | rl_lib.tracking.console_logger | Step 6143: {'rollout/returns': '-0.502579', 'rollout/advantages_mean': '-1.187944', 'rollout/advantages_std': '1.392336', 'rollout/critic_values': '0.685366', 'rollout/old_log_probs': '-0.134993', 'rollout/action_mean_0': '0.034006', 'rollout/action_mean_1': '0.529340', 'rollout/action_mean_2': '0.479383', 'rollout/action_std_0': '0.476296', 'rollout/action_std_1': '0.238456', 'rollout/action_std_2': '0.237342', 'rollout/explained_variance': '0.115169', 'training/entropy_coef': '0.009970', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003444', 'metrics/ratio_max': '1.254737', 'metrics/clip_fraction': '0.024412', 'metrics/approx_kl_0': '0.000142', 'metrics/approx_kl_1': '0.002253', 'metrics/approx_kl_2': '0.001067', 'metrics/actor_loss': '-0.002666', 'loss/critic': '0.956186', 'metrics/entropy_0': '0.919448', 'metrics/entropy_1': '0.914850', 'metrics/entropy_2': '0.917675', 'loss/entropy': '2.751973', 'metrics/log_std_0': '-0.499490', 'metrics/log_std_1': '-0.504088', 'metrics/log_std_2': '-0.501264', 'loss/total': '0.447963', 'grad_norm/cnn': '1.317979', 'grad_norm/sequence_encoder': '1.501575', 'grad_norm/actor': '1.739529', 'grad_norm/critic': '0.576886', 'metrics/grad_norm/max': '2.848578'}
2026-09-02 16:56:42 | DEBUG    | rl_lib.tracking.console_logger | Step 6010: {'episode/returns': '-27.304484', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 16:57:38 | DEBUG    | rl_lib.tracking.console_logger | Step 8191: {'rollout/returns': '-0.658848', 'rollout/advantages_mean': '-1.177314', 'rollout/advantages_std': '1.443203', 'rollout/critic_values': '0.518466', 'rollout/old_log_probs': '-0.132193', 'rollout/action_mean_0': '0.035152', 'rollout/action_mean_1': '0.548340', 'rollout/action_mean_2': '0.468845', 'rollout/action_std_0': '0.476946', 'rollout/action_std_1': '0.236070', 'rollout/action_std_2': '0.236988', 'rollout/explained_variance': '0.168002', 'training/entropy_coef': '0.009960', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003798', 'metrics/ratio_max': '1.277469', 'metrics/clip_fraction': '0.027999', 'metrics/approx_kl_0': '0.000174', 'metrics/approx_kl_1': '0.001089', 'metrics/approx_kl_2': '0.002540', 'metrics/actor_loss': '-0.002765', 'loss/critic': '0.975694', 'metrics/entropy_0': '0.919822', 'metrics/entropy_1': '0.912850', 'metrics/entropy_2': '0.916593', 'loss/entropy': '2.749266', 'metrics/log_std_0': '-0.499117', 'metrics/log_std_1': '-0.506088', 'metrics/log_std_2': '-0.502345', 'loss/total': '0.457672', 'grad_norm/cnn': '1.327218', 'grad_norm/sequence_encoder': '1.318612', 'grad_norm/actor': '1.719160', 'grad_norm/critic': '0.497304', 'metrics/grad_norm/max': '2.710496'}
2026-09-02 16:57:38 | DEBUG    | rl_lib.tracking.console_logger | Step 8014: {'episode/returns': '-27.817696', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
